model,corridor,horizon,pair_rank,n,mean_headway,mae
XGBoost,E2,10,11,254,10.387846430455605,6.754343725564912
XGBoost,E2,10,12,78,10.725498786339394,6.948124799972925
XGBoost,E2,10,13,12,11.227504471937815,7.793650130430858
XGBoost,E2,10,14,2,14.797724723815918,14.847709655761719
XGBoost,E4,1,1,23534,12.813680531367314,3.0263937114098973
XGBoost,E4,1,2,20195,11.91117543364315,2.9452067306827394
XGBoost,E4,1,3,16978,11.092021043203172,2.705230096692766
XGBoost,E4,1,4,13759,10.248113257116128,2.5534080908528782
XGBoost,E4,1,5,10186,10.286452391890537,2.439589650579925
XGBoost,E4,1,6,7011,10.23155883225373,2.5915618936815914
XGBoost,E4,1,7,4388,10.181493965625329,2.6658007732117945
XGBoost,E4,1,8,2367,10.234185333437289,2.692788258654486
XGBoost,E4,1,9,1114,9.098397532742156,2.494675620132974
XGBoost,E4,1,10,297,9.08063545772925,2.77878070399416
XGBoost,E4,3,1,22533,12.967019446367102,4.084680773735427
XGBoost,E4,3,2,19011,12.098309627293373,4.064803575517553
XGBoost,E4,3,3,15692,11.273710124230707,3.860997516191829
XGBoost,E4,3,4,12437,10.474176372967609,3.816289312981175
XGBoost,E4,3,5,9136,10.479047771093098,3.7046186318017553
XGBoost,E4,3,6,6303,10.304202187880247,3.8539196767826676
XGBoost,E4,3,7,3977,10.280000997303057,3.857710366936104
XGBoost,E4,3,8,2134,10.333626252194934,3.848200968190008
XGBoost,E4,3,9,947,8.828930443418315,3.5128715705468765
XGBoost,E4,3,10,238,9.061409403296079,3.756817978971145
XGBoost,E4,5,1,21801,13.061092341210305,4.7376366034761865
XGBoost,E4,5,2,18407,12.209610277070107,4.76101615468171
XGBoost,E4,5,3,15040,11.425021417851143,4.563627762838881
XGBoost,E4,5,4,11811,10.52373108271569,4.45658432095978
XGBoost,E4,5,5,8741,10.537191089374389,4.364546976295683
XGBoost,E4,5,6,5940,10.38000323009812,4.491795722402707
XGBoost,E4,5,7,3785,10.211768338544838,4.307140162630471
XGBoost,E4,5,8,2029,10.273008106611467,4.353516976547805
XGBoost,E4,5,9,886,8.824267462198675,3.946573027638765
XGBoost,E4,5,10,215,9.219247793596844,4.4654168461644375
XGBoost,E4,10,1,20572,13.028958203679922,5.743874387195921
XGBoost,E4,10,2,17441,12.25609086302263,5.6846352641677225
XGBoost,E4,10,3,14228,11.542146877790724,5.371644292415311
XGBoost,E4,10,4,11075,10.569855267199651,5.251497194449466
XGBoost,E4,10,5,8124,10.639879291425016,5.193170446354083
XGBoost,E4,10,6,5591,10.38433000862737,5.143628714016822
XGBoost,E4,10,7,3423,10.383910192511355,4.81459052988287
XGBoost,E4,10,8,1848,10.337201664974163,5.020891400126668
XGBoost,E4,10,9,738,9.381478683735297,4.482732133167546
XGBoost,E4,10,10,150,8.853056662877401,4.825873346328735
XGBoost,E59,1,1,24198,10.01969658153019,3.0532998149774717
XGBoost,E59,1,2,29037,9.271842751600044,2.9922038740283607
XGBoost,E59,1,3,29317,9.535569506013248,3.0897872245876536
XGBoost,E59,1,4,28668,9.53066036881505,3.1369579315800973
XGBoost,E59,1,5,27101,9.618047012710417,3.290835729424247
XGBoost,E59,1,6,25136,9.237233289216901,3.2526096595862652
XGBoost,E59,1,7,22528,8.824113745051859,3.212091509358619
