corridor,horizon,model,absolute_ratio,cut_minutes,n_cells,base_rate_relative,fire_rate_relative,underfire_relative,f1_relative,mcc_relative,base_rate_absolute,fire_rate_absolute,underfire_absolute,f1_absolute,trivial_f1_absolute,mcc_absolute,auc_absolute
E4,3,LSTM,0.25,2.395643366030646,64677,0.17321458942127804,0.030010668398348716,0.1732571632598411,0.17696287279367012,0.19798653342209688,0.056728048610789,0.0002473831501151878,0.004360861270100845,0.00271370420624152,0.10736546396277763,0.01739299280173626,0.5763798868569225
E4,3,Persistence,0.25,2.395643366030646,64677,0.17321458942127804,0.1840685251325819,1.0626617870213335,0.4864116323351221,0.37509063486597854,0.056728048610789,0.07320995098721339,1.290542382120469,0.23060447405997148,0.10736546396277763,0.1797209127788481,0.5926871035040501
E4,5,LSTM,0.25,2.397613054951739,60366,0.17243150117615877,0.012225424908060828,0.07090018253434527,0.06584731317843366,0.09567246777661811,0.060795812212172416,0.00021535301328562436,0.003542234332425068,0.0027151778441487913,0.11462302454869137,0.019888796181035805,0.5662477810812983
E4,5,Persistence,0.25,2.397613054951739,60366,0.17243150117615877,0.18054865321538616,1.047074646940148,0.381359113947813,0.24895762353396272,0.060795812212172416,0.07166285657489316,1.1787465940054496,0.19459729864932468,0.11462302454869137,0.1384190303097819,0.5899581024703097
E4,10,LSTM,0.25,2.3982357448933613,54443,0.17930679793545543,0.002755175137299561,0.015365703749231715,0.015133171912832932,0.04394147876888886,0.06603236412394614,0.00001836783424866374,0.0002781641168289291,0.0,0.12388435163168957,-0.0011395817196613574,0.550718307080756
E4,10,Persistence,0.25,2.3982357448933613,54443,0.17930679793545543,0.17842514189151956,0.9950829748002459,0.268227562127747,0.10882871695820827,0.06603236412394614,0.0707161618573554,1.070931849791377,0.14076561450638012,0.12388435163168957,0.07783634321089011,0.556082947261729
E59,1,LSTM,0.25,1.7838513554600886,231742,0.212378420830061,0.06483071691795186,0.3052603775118354,0.30756059214520326,0.28658714287500936,0.04542120116336271,0.0002243874653709729,0.004940148204446133,0.0015125732652675364,0.08689550415242624,0.00780085254245492,0.7308461104671236
E59,1,Persistence,0.25,1.7838513554600886,231742,0.212378420830061,0.21285308662219193,1.002235000101591,0.6201087838934893,0.5175282200564424,0.04542120116336271,0.04744068835170146,1.0444613338400153,0.4544609665427509,0.08689550415242624,0.42802221193904394,0.7711552770101293
E59,3,LSTM,0.25,1.7823319087131564,219911,0.20852526703984794,0.027597528090909505,0.13234620668600214,0.1298001001425105,0.14379300648201207,0.04336754414285779,0.000027283764795758285,0.0006291286568103178,0.0,0.08312994665457968,-0.0011121616927496868,0.6539657133584466
E59,3,Persistence,0.25,1.7823319087131564,219911,0.20852526703984794,0.21087621810641577,1.0112741784242318,0.46856263078574456,0.32756304446214046,0.04336754414285779,0.046668879683144544,1.0761245674740485,0.252020202020202,0.08312994665457968,0.21696974668370755,0.679915886337327
E59,5,LSTM,0.25,1.7816009528055199,216618,0.20799287224515045,0.018022509671403116,0.08664965042725559,0.08313078289997752,0.10456425853162847,0.04392525090251041,0.00003231495074278223,0.0007356805044666316,0.0,0.08415401555721634,-0.0012184843840677237,0.636733578783452
