corridor,horizon,split_mode,seed,n_learn,n_eval,policy,policy_degenerate,mae_router,mae_persist,mae_lstm,mae_xgb,mae_oracle,best_pure,gain_vs_best_pure,gap_to_oracle
E4,1,random,10,58988,39325,PPP,true,2.5879265186579,2.5879265186579,3.046357598519977,2.7657891461474837,2.5879265186579,P,0.0,0.0
E4,1,random,11,58988,39325,PPP,true,2.582554725894334,2.582554725894334,3.034721063988571,2.7700327870683616,2.582554725894334,P,0.0,0.0
E4,1,random,12,58988,39325,PPP,true,2.608245337571752,2.608245337571752,3.0759876358895566,2.7913633586461577,2.608245337571752,P,0.0,0.0
E4,1,random,13,58988,39325,PPP,true,2.6150798009810594,2.6150798009810594,3.0874787475042713,2.7972279428086764,2.6150798009810594,P,0.0,0.0
E4,1,random,14,58988,39325,PPP,true,2.621193257045079,2.621193257045079,3.0696887657131575,2.790512633023562,2.621193257045079,P,0.0,0.0
E4,1,random,15,58988,39325,PPP,true,2.6307483928459736,2.6307483928459736,3.0877908170958346,2.8115800157475457,2.6307483928459736,P,0.0,0.0
E4,1,random,16,58988,39325,PPP,true,2.593604000295262,2.593604000295262,3.0606030885171376,2.784642046966601,2.593604000295262,P,0.0,0.0
E4,1,random,17,58988,39325,PPP,true,2.608412166905873,2.608412166905873,3.0555488575391534,2.7817853335885583,2.608412166905873,P,0.0,0.0
E4,1,random,18,58988,39325,PPP,true,2.6013684648415576,2.6013684648415576,3.0514799003819335,2.7686415810897254,2.6013684648415576,P,0.0,0.0
E4,1,random,19,58988,39325,PPP,true,2.5599615737638577,2.5599615737638577,3.042143729210506,2.752490147143811,2.5599615737638577,P,0.0,0.0
E4,1,temporal,,62341,35972,PPP,true,2.566941467697358,2.566941467697358,3.036336022662491,2.7988747952280804,2.566941467697358,P,0.0,0.0
E4,3,random,0,54728,36486,PXD,false,3.868766126288713,4.11518579934803,4.023821743147706,3.9271972247633253,3.868766126288713,X,-0.05843109847461214,0.0
E4,3,random,1,54728,36486,PXD,false,3.8635532924403995,4.073742378635613,4.0166011589801816,3.922359501518963,3.8635532924403995,X,-0.05880620907856349,0.0
E4,3,random,2,54728,36486,PXD,false,3.87982746927857,4.09387323868508,4.036433671236051,3.9345781161637055,3.87982746927857,X,-0.054750646885135534,0.0
E4,3,random,3,54728,36486,PXD,false,3.885643464329799,4.094140157308559,4.038692399375057,3.9330752163623917,3.8849164564698526,X,-0.047431752032592644,0.0007270078599463936
E4,3,random,4,54728,36486,PXD,false,3.88701303493478,4.097492400631337,4.03723281790197,3.9373389815628115,3.88701303493478,X,-0.05032594662803147,0.0
E4,3,random,5,54728,36486,PXD,false,3.8923570006548336,4.095188678202906,4.038476395540343,3.937771173845563,3.8923570006548336,X,-0.04541417319072938,0.0
E4,3,random,6,54728,36486,PXD,false,3.9068954186057114,4.132056007767916,4.072538409977767,3.960939569705373,3.9068954186057114,X,-0.05404415109966143,0.0
E4,3,random,7,54728,36486,PXD,false,3.8989013257939154,4.117641504714085,4.043318099674475,3.957287742597181,3.8989013257939154,X,-0.05838641680326573,0.0
E4,3,random,8,54728,36486,PXD,false,3.8821608828575616,4.1139478491356725,4.031000132480486,3.9365109456302316,3.8821608828575616,X,-0.05435006277267007,0.0
E4,3,random,9,54728,36486,PXD,false,3.876500735822388,4.087737652239083,4.017540295069295,3.9152680931074055,3.870783081083701,X,-0.03876735728501757,0.005717654738687017
E4,3,random,10,54728,36486,PXD,false,3.9086557894312928,4.1225002812024485,4.055920631812473,3.9584582199138394,3.9086557894312928,X,-0.04980243048254662,0.0
E4,3,random,11,54728,36486,PXD,false,3.8864621298424096,4.101628100225776,4.038731285206145,3.939757746542676,3.8864621298424096,X,-0.05329561670026628,0.0
E4,3,random,12,54728,36486,PXD,false,3.860486779722383,4.074676170321937,4.019783259548979,3.9202593431617583,3.860486779722383,X,-0.059772563439375315,0.0
E4,3,random,13,54728,36486,PXD,false,3.8995955848108355,4.126580987028638,4.055352100682731,3.949209948103071,3.8995955848108355,X,-0.04961436329223545,0.0
E4,3,random,14,54728,36486,PXD,false,3.8909046689401374,4.10679125042199,4.045230367038227,3.9364331004089386,3.8899900423084013,X,-0.045528431468801145,0.0009146266317361373
E4,3,random,15,54728,36486,PXD,false,3.8774414439934004,4.074739927041363,4.024528910806224,3.9195646506446318,3.8773294633884072,X,-0.04212320665123137,0.00011198060499317819
E4,3,random,16,54728,36486,PXD,false,3.852150385260732,4.057812005485652,4.003550006744338,3.9071422268775433,3.852150385260732,X,-0.05499184161681114,0.0
E4,3,random,17,54728,36486,PXD,false,3.8985973625259427,4.121469994853255,4.050835654380479,3.944777439947891,3.8985973625259427,X,-0.04618007742194852,0.0
E4,3,random,18,54728,36486,PXD,false,3.850559038335161,4.074632844740392,4.010467214424385,3.899360645897509,3.850559038335161,X,-0.04880160756234808,0.0
E4,3,random,19,54728,36486,PXD,false,3.886200947379397,4.103320629000892,4.032438549106466,3.942774605824224,3.886200947379397,X,-0.05657365844482731,0.0
E4,3,temporal,,58029,33185,PXD,false,3.9098633293216802,4.06043660896845,4.075234293682632,3.982840071296376,3.9098633293216802,X,-0.07297674197469561,0.0
E4,5,random,0,52510,35006,DDD,true,4.507118098008281,5.058808488041607,4.507118098008281,4.581526624041476,4.507118098008281,D,0.0,0.0
E4,5,random,1,52510,35006,DDD,true,4.537276214172873,5.057731716372534,4.537276214172873,4.610127250180955,4.537276214172873,D,0.0,0.0
E4,5,random,2,52510,35006,DDD,true,4.50049942226156,4.990104969437446,4.50049942226156,4.568659544706222,4.495847648234733,D,0.0,0.004651774026827482
